text,entity,score,date,annotator_comment,general_location,specific_location,year,season,month,day,Coordinates
"Just then, the snow storm ceased, and the sky became clear, which enabled me to survey my position and ground, with some degree of confidence.",snow,7.0,Winter 1867,,Glenshee Area,Cairnwell,1867.0,Winter,,,"(56.876858, -3.373544)"
"Every 50 yards or so, there were wreathes of snow upon the road, knee deep, and being soft made walking very difficult.",snow,4.0,Winter 1867,,Glenshee Area,Spittal of Glenshee,1867.0,Winter,,,"(56.876858, -3.373544)"
"About 4am I felt my feet beginning to get benumbed and very heavy. Just then, the snow storm ceased, and the sky became clear, which enabled me to survey my position and ground, with some degree of confidence.","snow, storm",5.0,Winter 1867,,Glenshee Area,Cairnwell,1867.0,Winter,,,"(56.876858, -3.373544)"
"Before reaching Ruidorrach the snow storm had increased to, what the Braemar people would have called, a 'Hurricane of Blind Drift'.","snow, storm",3.0,Winter 1867,,Glenshee Area,Cairnwell,1867.0,Winter,,,"(56.876858, -3.373544)"
"There was a good fall of snow on the ground, but a thaw had set in with heavy rain, so I made up my mind to call on Factor Cumming, my old master who resided at Rattray, Blairgowrie, with a view to getting his pony to ride on to the Spittal, but on calling at his house I was informed that he had died and was buried on the previous day.","snow, thaw",6.0,Winter 1867,,Eastern Highlands,Blairgowrie,1867.0,Winter,,,"(57.194888, -3.281276)"
"fought his way through drifting snow, reached here more like death than life.","drifting, snow",6.0,16/10/1869,,Glenshee Area,Cairnwell,1869.0,,10.0,16.0,"(56.876858, -3.373544)"
"...fighting his way through drifting snow, reached here more like death than life.","drifting,snow",6.0,16/10/1869,,Glenshee Area,Cairnwell,1869.0,,10.0,16.0,"(56.876858, -3.373544)"
"the intense cold water, fresh from the melting snows, and the sharp angular gravel at the bottom, made this crossing quite an experience for one's poor feet.","melting, snows, cold",3.0,20/07/1870,,Cairngorms Western Massif,Cairn Toul,1870.0,,7.0,20.0,"(57.066582, -3.732339)"
"some time was spent examining the rise and progress of the infant Dee, from its ""Wells"" to where it disappears under an arch of snow, and takes a breakneck leap down the great precipice.",snow,6.0,20/07/1870,,Cairngorms Western Massif,Cairn Toul,1870.0,,7.0,20.0,"(57.066582, -3.732339)"
"The water was intensely cold, coming partly from a great mass of snow, which we had traversed on the way.","snow, cold",8.0,20/07/1870,,Cairngorms Western Massif,Garbh Uisge,1870.0,,7.0,20.0,"(57.066582, -3.732339)"
...the journey to and in snow all the way.,snow,5.0,08/03/1873,,Cairngorms Other,Braemar,1873.0,,3.0,8.0,"(57.09969, -3.6656)"
...a fall of snow.,snow,5.0,08/03/1873,,Cairngorms Other,Braemar,1873.0,,3.0,8.0,"(57.09969, -3.6656)"
the journey to and in snow all the way.,snow,5.0,08/03/1873,,Other Highlands,,1873.0,,3.0,8.0,
my foot trod the first snow.,"first, snow",5.0,-/07/1877,,Lochnagar,Lochnagar,1877.0,,7.0,,"(56.954291, -3.244078)"
"Patches of snow were on the hills, which had an amphitheatre sweep.","patches, snow",4.0,-/07/1877,,Eastern Highlands,Glen Glova,1877.0,,7.0,,"(57.194888, -3.281276)"
There was snow on the north side.,snow,8.0,-/07/1877,,Lochnagar,Lochnagar,1877.0,,7.0,,"(56.954291, -3.244078)"
"the last time I climbed the Clashmach was in 1877, a year in which the snows on the Grampians were very late in melting, and although it was about the end of June or the beginning of July that I crossed the hill I could see great patches of snow on the far off slopes.","snows, patches of snow",7.0,-/07/1877,,Central Highlands,Grampians,1877.0,,7.0,,"(56.949668, -4.608764)"
this lochan was still covered with unbroken ice of the previous winter.,ice,9.0,24/07/1879,,Cairngorms Western Massif,Lochan Uaine,1879.0,,7.0,24.0,"(57.066582, -3.732339)"
"naged  to retrace  our  foot- steps in  the  snow, until,  supposing  ourselves  out  of  danger  of losing  our  way, and  allured  by  some  rocky  hummocks  that  gave  hope  of  shelter, we  turned  to  the  left, and  eventually  to  rest  and  refresh  ourselves.",snow,8.0,-/11/1880,,Central Highlands,Creag Meagaidh,1880.0,,11.0,,"(56.949668, -4.608764)"
the carpet of moss and mountain grass that lay over the firm slabs was covered with a coating of snow.,snow,6.0,-/11/1880,,Central Highlands,Creag Meagaidh,1880.0,,11.0,,"(56.949668, -4.608764)"
Through the blinding drift we managed to retrace our footsteps in the snow.,snow,5.0,-/11/1880,,Central Highlands,Creag Meagaidh,1880.0,,11.0,,"(56.949668, -4.608764)"
Avalanches are still of no infrequent occurrence in Gaick; no fewer than fifteen deer were killed in 1884 by one in Gharbh Ghaig.,avalanche,6.0,1884,,Central Highlands,Gaick,1884.0,,,,"(56.949668, -4.608764)"
"the snow was much blown away by the wind, the general height being lowered several inches—even the hard crust on top was broken up.","snow, blown",4.0,22/02/1885,Diary entry,Ben Nevis,Ben Nevis,1885.0,,2.0,22.0,"(56.796735, -5.002927)"
patches of snow bore testimony to protracted winters in these parts.,"patches, snow",4.0,1885,,Central Highlands,Ben Achallader,1885.0,,,,"(56.949668, -4.608764)"
"There was snow on the ground, and snow was also the sluices;",snow,7.0,1885,,Central Highlands,Devils Staircase Kinlochleven,1885.0,,,,"(56.949668, -4.608764)"
"Once started however snow fell so densely that even the road was hardly visible, yet I held on with perfect confidence.","snow, dense",7.0,1885,,Central Highlands,Devils Staircase Kinlochleven,1885.0,,,,"(56.949668, -4.608764)"
"I found "" the Stone "", and several of his smaller neighbours, standing out of an immense field of snow, and under it water and black-looking, half-liquid mud.","field, snow",8.0,21/06/1887,,Ben Macdui,Loch Etchachan Shelter Stone,1887.0,,6.0,21.0,"(57.070696, -3.667715)"
the recently fallen hoar-frost glistening in all its pearly purity.,"hoar-frost, frozen",8.0,21/06/1887,,Cairngorms Other,Loch Avon,1887.0,,6.0,21.0,"(57.09969, -3.6656)"
"the evening was, notwithstanding the proximity of large patches of snow, sultry and almost suffocating","patches, snow",4.0,21/06/1887,Date dervied from Queen Victoria Jubilee,Ben Macdui,Loch Etchachan at Ben Macdui,1887.0,,6.0,21.0,"(57.070696, -3.667715)"
on the present occasion the snow had retreated to the shelter of the various precipices,"retreated, snow",5.0,21/06/1887,,Cairngorms Other,Loch Avon,1887.0,,6.0,21.0,"(57.09969, -3.6656)"
"We left our retreat early next morning, and by 5 0 were at Loch Etchachan. There the wind seemed to blow from every point of the compass, and mist held.",none,5.0,29/07/1889,,Ben Macdui,Loch Etchachan,1889.0,,7.0,29.0,"(57.070696, -3.667715)"
"At Loch Etchachan sleet was encountered, followed, 500 feet higher, by hail, which mercilessly punished our faces.","sleet, hail",4.0,29/07/1889,,Ben Macdui,Loch Etchachan,1889.0,,7.0,29.0,"(57.070696, -3.667715)"
the corries and precipices were draped in snow.,snow,8.0,05/05/1890,reference to a previous trip,Cairngorms Other,Cairngorms,1890.0,,5.0,5.0,"(57.09969, -3.6656)"
the most laggard of the mountaineers had crossed the snow banks glistening in the sun half-way up,snow,8.0,05/05/1890,,Eastern Highlands,Mount Keen,1890.0,,5.0,5.0,"(57.194888, -3.281276)"
"the surface was quite white, there being a good deal of fresh snow, with here and there hard snow slopes.","fresh, snow, hard",7.0,01/01/1893,Interesting comments on temperature- presumably in degrees farenheit,Beinn a' Bhuird & Ben Avon,Ben Avon,1893.0,,1.0,1.0,"(57.081248, -3.505238)"
the whole Ben being almost covered with deep snow—a striking contrast to Cairngorm on the other side of the Nethy.,deep snow,9.0,21/02/1893,,Cairngorms Other,Ben Bynac,1893.0,,2.0,21.0,"(57.09969, -3.6656)"
"walking along the unbroken snow, a gigantic black object appeared to be approaching the party! The snow, driven by the wind, surrounded the huge rock, leaving a ""moat""-like space at the foot of this mountain excrescence. gave an opportunity of observing the depth of the snow, which was here estimated at from 25 to 30 feet.",snow,8.0,21/02/1893,,Cairngorms Other,Ben Bynac,1893.0,,2.0,21.0,"(57.09969, -3.6656)"
the downward trudge along the snow-filled track was commenced at 1 p.m.,snow,7.0,21/02/1893,,Cairngorms Other,Ben Bynac,1893.0,,2.0,21.0,"(57.09969, -3.6656)"
"Above 2500 feet the mountain was more or less covered with snow, but the summit was practically swept bare, only a very thin icy covering being left.","snow, icy",5.0,21/02/1893,,Cairngorms Other,Cairngorm,1893.0,,2.0,21.0,"(57.09969, -3.6656)"
"In the former glen a fierce snow storm had to be faced, while the latter was full of snow till near Rinloan.","snow, storm",4.0,21/02/1893,,Eastern Highlands,Glen Gairn,1893.0,,2.0,21.0,"(57.194888, -3.281276)"
"In the first gully all the steps were cut by Gibson, and no one, without a long training at step-cutting could have cut such a staircase of steps as was required in the ascent of this gully.",gully,6.0,12/03/1893,,Lochnagar,Lochnagar,1893.0,,3.0,12.0,"(56.954291, -3.244078)"
"We got to the head of this gully, which runs to within 100 feet of the top, but were stopped there by a sheer wall of smooth rock. On our left was a sloping slab some ten feet high, covered with rotten ice, leading on to the face of the cliffs, showing beyond a possible, though an exceedingly difficult, way to the top.",ice,5.0,12/03/1893,,Lochnagar,Lochnagar,1893.0,,3.0,12.0,"(56.954291, -3.244078)"
"was attempted on 12th March by Mr. J. H. Gibson and the writer, by a snow-gully in the east corner of the big corrie.","snow, gully",8.0,12/03/1893,,Lochnagar,Lochnagar,1893.0,,3.0,12.0,"(56.954291, -3.244078)"
"Skirting the foot of the cliffs, we ascended to Cac Cam Beag by the snow gully, known locally as the ""Black Spout"".","snow, gully",8.0,12/03/1893,,Lochnagar,Lochnagar,1893.0,,3.0,12.0,"(56.954291, -3.244078)"
"This was Gibson's and Douglas' attempt in March, 1893 (recorded in Vol. II. of the Scottish Mountaineering Club Journal, p. 246) which was made upon a steep snow gully in the east corner of the big corrie, and ended some 100 feet below the summit at the base of a smooth perpendicular rock-wall which both climbers pronounced impracticable.","snow, gully",7.0,-/03/1893,,Lochnagar,Lochnagar,1893.0,,3.0,,"(56.954291, -3.244078)"
"Loch Etchachan was covered with ice, as also were Lochan nan Cnapan, Lochan Uaine (of Cairn Toul) and Loch Coire an Lochain.",ice,7.0,07/04/1893,,Ben Macdui,Loch Etchachan,1893.0,,4.0,7.0,"(57.070696, -3.667715)"
the snow was almost without a break.,snow,8.0,07/04/1893,,Ben Macdui,Ben Macdui,1893.0,,4.0,7.0,"(57.070696, -3.667715)"
"Very little snow was found on the north side of Cairngorm, except in the corries, which were looking picturesque enough.",snow,6.0,07/04/1893,,Cairngorms Other,Cairngorm,1893.0,,4.0,7.0,"(57.09969, -3.6656)"
Last year snow never completely left Coire an t-Sneachda of Cairngorm.,snow,6.0,07/04/1893,,Cairngorms Other,Coire an t-Sneachda,1893.0,,4.0,7.0,"(57.09969, -3.6656)"
"Sgòran Dubh looked exceedingly grand, the summits being quite white, and the rocky side presented to the loch beautifully snow-marked.",snow,9.0,07/04/1893,,Cairngorms Other,Sgoran Dubh,1893.0,,4.0,7.0,"(57.09969, -3.6656)"
"the great plateau was duly reached, and found to be completely covered with hard snow.",snow,8.0,07/04/1893,,Cairngorms Other,Sgoran Dubh,1893.0,,4.0,7.0,"(57.09969, -3.6656)"
"the burns crossed by the pony path were full of snow, and at the head of the corrie, where the track is rather steep, the snow was so forbidding as to compel us to take the bare face of the mountain at an angle of sometimes over 50°, an avalanche of stones saluting us on the right.","snow, avalanche",3.0,07/04/1893,,Cairngorms Other,Sgoran Dubh,1893.0,,4.0,7.0,"(57.09969, -3.6656)"
"the snow cornices overhanging the corries were a pretty sight, great breaks frequently occurring, with icicles forming at the fractures.","snow, cornice, icicles",9.0,07/04/1893,,Cairngorms Other,Sgoran Dubh,1893.0,,4.0,7.0,"(57.09969, -3.6656)"
"the summit was reached, was extensive, but none of the mountains visible seemed to be so snow-clad as the Cairngorms.",snow-clad,9.0,07/04/1893,,Cairngorms Other,Sgoran Dubh,1893.0,,4.0,7.0,"(57.09969, -3.6656)"
"the blunt cone shows more snow than anything else in sight, being as white as a wedding cake.","more, snow, white",8.0,13/04/1893,,Central Highlands,Creag Meaghaidh,1893.0,,4.0,13.0,"(56.949668, -4.608764)"
"Then a rapid descent down a snow gully in grand condition for glissading, and the road was reached a mile below Loch Eunach at 7'45.","rapid, snow, glissading",9.0,13/04/1893,,Cairngorms Other,Loch Eunach,1893.0,,4.0,13.0,"(57.09969, -3.6656)"
"Then a rapid descent down a snow gully in grand condition for glissading, and the road was reached a mile below Loch Eunach at 7'45, and Lynwilg at 11-10.","snow, gully",8.0,13/04/1893,,Cairngorms Other,Loch Eunach,1893.0,,4.0,13.0,"(57.09969, -3.6656)"
Some splendid snow gullies descended right to the loch in the most perfect order for glissading.,"splendid, snow, glissading",9.0,13/04/1893,presumble the name of the munro has drited since 1893,Central Highlands,Sgoran Dubh Beag,1893.0,,4.0,13.0,"(56.949668, -4.608764)"
"the snow was found to be so hard that it was quite impossible to kick steps in it, and I had reluctantly to turn my attention to the possibility of ascending by the rocks.","hard, snow",3.0,-/04/1893,,Ben Lui,Ben Lui,1893.0,,4.0,,"(56.396993, -4.810804)"
Only those who visit our mountains in winter or early spring can realise how Alpine-like Scottish hills can look when they wear their garb of white.,snow,9.0,-/04/1893,Beinn Laoigh - changed (Anglicised) to Ben Lui,Ben Lui,Ben Lui,1893.0,,4.0,,"(56.396993, -4.810804)"
"the sight of Beinn Laoigh as it appeared that April morning, rearing its chisel-like crest against the cloudless sky, and with its great thousand-feet corrie filled with snow from top to bottom, might have moved to rapture even the most pronounced disciple of that school of climbers which sees in mountaineering only an exhilarating exercise.",snow,10.0,-/04/1893,,Ben Lui,Ben Lui,1893.0,,4.0,,"(56.396993, -4.810804)"
"the glare from the snow seemed the most obvious difficulty, it was resolved, instead of going straight up the corrie, to turn over to the left, where the cliffs threw a considerable part of the snow into shadow.",snow,5.0,-/04/1893,,Ben Lui,Ben Lui,1893.0,,4.0,,"(56.396993, -4.810804)"
"the best plan of ascent seemed to be to follow the right bank of the burn to the hollow at the foot of the corrie where it takes its rise, and from thence work a way right up the snow-face to the top.",snow,8.0,-/04/1893,,Ben Lui,Ben Lui,1893.0,,4.0,,"(56.396993, -4.810804)"
"But here the snow was found to be so hard that it was quite impossible to kick steps in it, and I had reluctantly to turn my attention to the possibility of ascending by the rocks.",snow,4.0,-/04/1893,,Ben Lui,Ben Lui,1893.0,,4.0,,"(56.396993, -4.810804)"
"a scramble up a short slope of snow, and a longer one of scree and rock, brought me to the crest of the cliffs at their lowest point.",snow,7.0,-/04/1893,,Ben Lui,Ben Lui,1893.0,,4.0,,"(56.396993, -4.810804)"
"the ascent by the side of the stream was very steep, the heat was intense, and it took a good hour before the snow was reached.",snow,6.0,-/04/1893,,Ben Lui,Ben Lui,1893.0,,4.0,,"(56.396993, -4.810804)"
"Energetic climbers will, however, prefer to traverse the mountain from end to end, as Mr. Rose and I attempted to do early last April, when the winter's snow was still deep.",snow,9.0,-/04/1893,,North West Highlands,Beinn Eighe,1893.0,,4.0,,"(57.190786, -5.158042)"
"Ahead, the snow slope led all the way to the top, terminating in a long, corniced ridge.","snow, cornice",8.0,-/04/1893,,Ben Lui,Ben Lui,1893.0,,4.0,,"(56.396993, -4.810804)"
"with a sheer drop on one side down to the snow in the main corrie, and with a steep slope on the other to more snow, which, though lying in great quantities, was not quite continuous, as the flank of the mountain was here broken up into terraces.","snow, quantities",7.0,-/04/1893,,Ben Lui,Ben Lui,1893.0,,4.0,,"(56.396993, -4.810804)"
"a snow slope, which extended, with breaks here and there, right up to the crest of the mountain, could easily be reached.","snow, slope",6.0,-/04/1893,,Ben Lui,Ben Lui,1893.0,,4.0,,"(56.396993, -4.810804)"
